Pma,Pos#,Description
300,5461007,5/4X6X10 SYP PREM TRTD
300,5461206,5/4X6X12 STD TR DECKING
300,5461207,5/4X6X12 SYP PREM TRTD
300,5461255,5/4X6X12 STD TR GC DECKING
300,5461406,5/4X6X14 STD TR DECKING
300,5461606,5/4X6X16 STD TR DECKING
300,5461607,5/4X6X16 SYP PREM TRTD
300,5462006,5/4X6X20 STD TR DECKING
300,6060806,6X6X8 SYP TREATED #2
300,6061006,6X6X10 SYP TREATED #2
300,6061206,6X6X12 SYP TREATED #2
300,6061406,6X6X14 SYP TREATED #2
300,6061606,6X6X16 SYP TREATED #2
300,6061607,6X6X16 SYP TREATED #1
300,6061806,6X6X18 SYP TREATED #2
300,6062006,6X6X20 SYP TREATED #2
300,6062406,6X6X24 SYP TREATED #2
300,6619100,LATTICE 4X8' HD TREATED
300,7488600,1X6X6 DE PT FENCE BOARD
300,7502000,1/2X4X8 SYP CDX TREATED
300,7502100,3/4X4X8 SYP CDX TREATED
300,7530500,2X2X42 BEVL 2 END PT
300,7532800,2X2X42 B1E TTD BALUSTER
300,8081006,8X8X10 SYP TREATED #2
300,8081206,8X8X12 SYP TREATED #2
,,
302,4041406,4X4X14 SYP TREATED #2
,,
400,122200,1X6 T&G SPF BEADED V-JOINT
400,1007054,1X6X16 T&G FJ PRMD ECB
400,1061624,1X6X16 PRM REALTRIM
400,1061691,1X6X16 C&BTR SELECT PINE
400,1063900,1X6 RADIATA PINE
400,1081632,1X8X16 SYP NG/SHIPLAP
400,1081691,1X8X16 C&BTR SELECT PINE
,,
401,1041686,1X4X16 FJ POPLAR
401,1081686,1X8X16 FJ POPLAR
,,
402,1040001,1X4 #2 COMMON BOARD
402,1041601,1X4X16 #2 COMMON BOARD
402,1060001,1X6 #2 COMMON BOARD
402,1061201,1X6X12 #2 COMMON BOARD
402,1061601,1X6X16 #2 COMMON BOARD
402,1080001,1X8 #2 COMMON BOARD
402,1081201,1X8X12 #2 COMMON BOARD
402,1081601,1X8X16 #2 COMMON BOARD
402,1100001,1X10 #2 COMMON BOARD
402,1101601,1X10X16 #2 COMMON BOARD
402,1120001,1X12 #2 COMMON BOARD
402,1121601,1X12X16 #2 COMMON BOARD
,,
500,1010297,10X10X12 CEDAR R/S
500,4040854,4X4X8 SMOOTH CEDAR
500,4041054,4X4X10  SMOOTH CEDAR
500,4041254,4X4X12  SMOOTH CEDAR
500,6101097,6X10X10 CEDAR R/S
500,8632686,1-5/8 X50' JOIST TAPE
500,8632687,3-1/8 X50' BEAM TAPE
,,
515,1060822,1X6X8   WRC STD&BTR S1S2E
515,1061022,1X6X10 WRC STD&BTR S1S2E G
515,1061222,1X6X12 WRC STD&BTR S1S2E G
515,1061622,1X6X16 WRC STD&BTR S1S2E G
515,1081022,1X8X10 WRC STD&BTR S1S2E G
515,1081222,1X8X12 WRC STD&BTR S1S2E G
515,1081622,1X8X16  WRC STD&BTR S1S2E
515,1101022,1X10X10 WRC STD&BTR S1S2E
515,1101222,1X10X12 WRC STD&BTR S1S2E
515,1120822,1X12X8  WRC STD&BTR S1S2E
515,1121422,1X12X14 WRC STD&BTR S1S2E
,,
516,2040896,2X4X8 ARCH KNOTTY CDR S4S
516,2041096,2X4X10 ARCH KNOTTY CDR S4S
516,2041296,2X4X12 ARCH KNOTTY CDR S4S
516,2060896,2X6X8 ARCH KNOTTY CDR S4S
516,2061096,2X6X10 ARCH KNOTTY CDR S4S
516,2061296,2X6X12 ARCH KNOTTY CDR S4S
516,2061496,2X6X14 ARCH KNOTTY CDR S4S
,,
517,6100897,6X10X8 CEDAR R/S
,,
518,1061697,1X6X16 PRM R/S CEDAR
518,1081697,1X8X16 CEDAR R/S PRMD
518,1101697,1X10X16 CEDAR R/S
518,1121697,1X12X16 CEDAR R/S
518,2040897,2X4X8 CEDAR R/S
518,2041097,2X4X10  CEDAR R/S
518,2041297,2X4X12 CEDAR R/S
518,2060897,2X6X8 CEDAR R/S
518,2061097,2X6X10 CEDAR R/S
518,2061297,2X6X12 CEDAR R/S
,,
519,4040897,4X4X8   CEDAR R/S
519,4041097,4X4X10  CEDAR R/S
519,4041297,4X4X12  CEDAR R/S
519,4060897,4X6X8 CEDAR R/S
519,4080897,4X8X8 CEDAR R/S
519,6060897,6X6X8 CEDAR R/S
519,6061097,6X6X10 CEDAR R/S
519,6061297,6X6X12 CEDAR R/S
519,6562900,6X8X8   CEDAR R/S
519,8081097,8X8X10 CEDAR R/S
,,
600,103608,EZ SHIM BLCK SHEET OF 10
600,921734,CSBP56 CEDAR SHIMS 56COUNT
600,1020801,1X2X8 FURRING STRIP
600,2020802,2X2X8 FURRING STRIP
600,7130900,SHIMS CEDAR 1-2
,,
618,787255,MEGA SHOE STANDARD 20PK
618,787256,MEGA SHOE STAIR 20PK
618,1031500,NYLON RAIL BRACKET
618,1031900,VINTAGE RND SHOE 20CT
618,1032000,VINTAGE RND SHOE STR 20CT
618,3865200,MEGA EZ MNT STND BLK 20PK
618,3865300,MEGA EZ MNT STAIR BLK 20PK
618,7788800,C0981-1004 10PK TENSIONER
618,7788900,C0981-0204 2PK TENSIONER
618,7790100,C0981-S104 10PK SWIVEL END
618,7790200,C0981-S024 2PK SWIVEL END
618,7790800,C0915-0438 CABLE SLEEVE
618,7790900,C0978-4100 100' CABLE
618,7791100,C0978-4500 500' CABLE
618,7791500,C0978-4025 25' CABLE
618,7791600,C0988-0000 INSTALL KIT
618,7791700,C0988-1000 DRILL TEMPLATE
618,7791800,C0989-00HD CABLE CUTTER
,,
701,71600,7/16X4X8 OSB
701,72500,7/16X4X10 OSB
701,4485800,7/16X4X9 OSB
701,4506100,19/32X4X8 OSB
701,4506400,23/32X4X8 OSB T&G
,,
702,12300,15/32X4X8 RATED SHEAT 3PLY
702,13400,23/32X4X8 SYP RATED SHEATH
702,13800,11/32X4X8 SYP RATED SHEATH
702,15800,19/32X4X8 SYP RATED SHEATH
702,53400,23/32X4X8 SYP UL T&G
702,7025800,15/32X4X8 RATED SHEAT 4PLY
,,
704,7026100,15/32X4X8 RATED SHT FIRE
704,7026200,5/8X4X8 FIRE RET RATED SHT
,,
708,2332400,23/32X4X8 T&G LP 350 50YR
708,2332483,23/32X4X8 T&G LP 350 DRH
708,7161111,7/16X4X8 LP OSB DR HORTON
708,7162222,7/16X4X9 LP OSB DR HORTON
708,7164817,7/16X4X8 OSB TECH SHIELD
,,
709,423340,1/4X65 HUBER RAIN SCREEN
709,4230401,7/16X4X8 ZIP COMBO SHEATH
709,4508100,23/32X4X8 ADVANTECH T&G
709,4508105,23/32X4X8T&G ADVAN XFACTOR
709,4509001,1/2X4X8 ZIP COMBO SHEATH
709,7230501,5/8X4X8 ZIP COMBO SHEATH
709,7321001,1/2X4X8 SQ EDG EXACOR
709,7507300,3/4X4X8 T&G HUBERBLUE PLUS
,,
714,1008420,10 X75' STRETCH TAPE
714,2010213,HUBER SUB FLOOR ADHESIVE
714,2010214,HUBER ADHESIVES CLEANER
714,2010216,ADHESIVES GUN
714,2010226,20OZ SAUSAGE LIQ FLASH GUN
714,4230300,ZIP TAPE 30 YD
714,4230400,ZIP TAPE GUNS
714,4508150,6 X75' ZIP STRETCH TAPE
714,7230801,ZIP TAPE ROLLER WITH MARK
714,7242290,10 X20' ZIP STRETCH TAPE
714,7342000,ZIP LIQUID FLASH 20OZ
714,7342900,ZIP LIQUID FLASH 29OZ
,,
715,2332003,23/32X4X8 LENNAR LP 350
715,2332061,15/32X4X8 LENNAR CDX FRT
715,7160001,7/16X4X8 LENNAR OSB
715,7160002,7/16X4X9 LENNAR OSB
,,
800,31200,15/32X4X8  SYP BC
800,33400,23/32X4X8  SYP BC
800,33800,11/32X4X8  SYP BC
800,45300,3/4X4X8 MDF
